SourceTable,PointID,MeasuringAgency,DataSource
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WellData,EB-388,,Santa Fe County Utilities field notes;
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WaterLevels,EB-389,SFC,A
WellData,EB-389,,Santa Fe County Utilities field notes;
WellData,EB-390,,Santa Fe County records; well log; field check
WellData,EB-392,,Well log; field check
WellData,EB-401,,"Jenkins, July 1977, Geohydrologic Investigation of Turquoise Trail  Subdvn"
WellData,EB-407,,"Jenkins, 1980, Geohydro Rept for Rancho Caballero; IN Jenkins 1982, Geohydro Las Cuadras de Ocate. also Jenkins, Dec 1979, Geohydrology of the Vista Subdivision"
WellData,EB-459,,"Longmire, Patrick, July 1985, Hydrogeochemical Study Along the Santa Fe River; field check"
WellData,EB-661,,"Balleau Groundwater, Inc., Oct 2007, Observation Well  A  -- Well Completion  Report"
WellData,EB-662,,"Balleau Groundwater, Inc., Oct 2007, Observation Well  A  -- Well Completion  Report"
WellData,EB-663,,"Balleau Groundwater, Inc., Oct 2007, Observation Well  A  -- Well Completion  Report"
WellData,EB-666,,"Balleau Groundwater, Inc., written communication, 11/27/2007"
WellData,EB-667,,"Balleau Groundwater, Inc., written communication, 11/27/2007"
WaterLevels,EB-696,SFC,A
WaterLevels,EB-696,SFC,A
WaterLevels,EB-696,SFC,A
WaterLevels,EB-696,SFC,A
WaterLevels,EB-696,SFC,A
WaterLevels,EB-696,SFC,A
WaterLevels,GT-003,USGS,A
WaterLevels,GT-003,USGS,A
WaterLevels,GT-003,USGS,A
WellData,GT-003,,Some data from USGS. Overlapping site data.
WellData,HS-010,,"Theis, C.V., Taylor, Jr., G.C., and Murray, C.R. (1941) Thermal Waters of the Hot Springs Artesian Basin Sierra County, New Mexico. U.S. Geological Survey in cooperation with State Engineer of New Mex"
WellData,HS-011,,"Theis, C.V., Taylor, Jr., G.C., and Murray, C.R. (1941) Thermal Waters of the Hot Springs Artesian Basin Sierra County, New Mexico. U.S. Geological Survey in cooperation with State Engineer of New Mex"
WellData,HS-012,,"Theis, C.V., Taylor, Jr., G.C., and Murray, C.R. (1941) Thermal Waters of the Hot Springs Artesian Basin Sierra County, New Mexico. U.S. Geological Survey in cooperation with State Engineer of New Mex"
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WaterLevels,HS-039,NMED,A
WellData,HS-076,,"Theis, C.V., Taylor, Jr., G.C., and Murray, C.R. (1941) Thermal Waters of the Hot Springs Artesian Basin Sierra County, New Mexico. U.S. Geological Survey in cooperation with State Engineer of New Mex"
WellData,JM-009,,"Finch, Steven T., and Melis, Erwin A., October 2008, Hydrogeologic evaluation of ground-water supply for the Spaceport America Site near Upham, NM, John Shomaker & Associates."
WellData,JM-010,,"Finch, Steven T., and Melis, Erwin A., October 2008, Hydrogeologic evaluation of ground-water supply for the Spaceport America Site near Upham, NM, John Shomaker & Associates."
WellData,JM-011,,"Finch, Steven T., and Melis, Erwin A., October 2008, Hydrogeologic evaluation of ground-water supply for the Spaceport America Site near Upham, NM, John Shomaker & Associates."
WellData,JM-012,,"Finch, Steven T., and Melis, Erwin A., October 2008, Hydrogeologic evaluation of ground-water supply for the Spaceport America Site near Upham, NM, John Shomaker & Associates."
WellData,JM-013,,"Finch, Steven T., and Melis, Erwin A., October 2008, Hydrogeologic evaluation of ground-water supply for the Spaceport America Site near Upham, NM, John Shomaker & Associates."
WellData,JM-014,,"Finch, Steven T., and Melis, Erwin A., October 2008, Hydrogeologic evaluation of ground-water supply for the Spaceport America Site near Upham, NM, John Shomaker & Associates."
WaterLevels,JM-015,USGS,A
WaterLevels,JM-015,USGS,A
WaterLevels,JM-015,USGS,A
WaterLevels,JM-015,USGS,A
WaterLevels,JM-015,USGS,A
WellData,JM-015,,Some data from USGS. Overlapping site data. Formation pick from USGS.
WaterLevels,JM-029,USGS,A
WaterLevels,JM-029,USGS,A
WaterLevels,JM-029,USGS,A
WaterLevels,JM-029,USGS,A
WaterLevels,JM-029,USGS,A
WellData,JM-029,,Some data from USGS. Overlapping site data.
WaterLevels,JM-033,USGS,A
WaterLevels,JM-033,USGS,A
WaterLevels,JM-033,USGS,A
WaterLevels,JM-033,USGS,A
WaterLevels,JM-033,USGS,A
WellData,JM-033,,Some data from USGS. Overlapping site data. Formation pick from USGS.
WaterLevels,JM-036,USGS,A
WaterLevels,JM-036,USGS,A
WaterLevels,JM-036,USGS,A
WaterLevels,JM-036,USGS,A
WaterLevels,JM-036,USGS,A
WellData,JM-036,,Some data from USGS. Overlapping site data. Formation pick from USGS.
WaterLevels,JM-044,USGS,A
WaterLevels,JM-044,USGS,A
WaterLevels,JM-044,USGS,A
WaterLevels,JM-044,USGS,A
WaterLevels,JM-044,USGS,A
WaterLevels,JM-046,USGS,A
WaterLevels,JM-046,USGS,A
WaterLevels,JM-046,USGS,A
WaterLevels,JM-046,USGS,A
WaterLevels,JM-046,USGS,A
WaterLevels,JM-046,USGS,A
WaterLevels,JM-046,USGS,A
WellData,JM-046,,Some data from USGS. Overlapping site data. Formation pick from USGS.
WaterLevels,JM-047,USGS,A
WaterLevels,JM-047,USGS,A
WaterLevels,JM-047,USGS,A
WaterLevels,JM-047,USGS,A
WaterLevels,JM-047,USGS,A
WaterLevels,JM-047,USGS,A
WaterLevels,JM-047,USGS,A
WellData,JM-047,,Some data from USGS. Overlapping site data. Formation pick from USGS.
WaterLevels,JM-049,USGS,A
WaterLevels,JM-049,USGS,A
WaterLevels,JM-049,USGS,A
WaterLevels,JM-049,USGS,A
WaterLevels,JM-049,USGS,A
WellData,JM-049,,Some data from USGS. Overlapping site data. Formation pick from USGS.
WaterLevels,JM-058,USGS,A
WellData,MG-030,,Lauren Sherson established USGS Site ID for the NGWMN project (5/29/18 - KP).
WellData,MG-038,,Lauren Sherson established USGS Site ID for the NGWMN project (5/29/18 - KP).
WellData,MG-044,,AMP visited this well on 5/25/2022 but we didn't do a well inventory.
WaterLevels,NM-00037,USGS,A
WaterLevels,NM-00037,USGS,A
WaterLevels,NM-00037,USGS,A
WaterLevels,NM-00037,USGS,A
WellData,NM-00037,,Some water levels from USGS
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WaterLevels,NM-00039,USGS,A
WellData,NM-00039,,Some water levels from USGS
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WaterLevels,NM-00225,USGS,A
WellData,NM-00225,,USGS
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WaterLevels,NM-00276,USGS,A
WellData,NM-00276,,USGS
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WaterLevels,NM-00280,USGS,A
WellData,NM-00280,,USGS
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
WaterLevels,NM-00367,USGS,A
