NMAquiferTable,MatchField,LocationId,WellID,OBJECTID,PointID,OSEWellID,OSEWelltagID,HoleDepth,WellDepth,DepthSource,CompletionDate,CompletionSource,MeasuringPoint,MPHeight,CasingDiameter,CasingDepth,CasingDescription,DrillerName,ConstructionMethod,ConstructionNotes,AquiferType,AqClass,FormationZone,StaticWater,WaterNotes,Status,CurrentUse,StatusUserNotes,MonitoringStatus,OpenWellLoggerOK,MonitorOK,SampleOK,DataSource,Notes,MonitorGroup,WellPdf,MonitorStatusReason,HydrographInterp,PrimaryUseSite_USGS,PrimaryUseWater_USGS,SSMA_TimeStamp
dbo.WellData,DataSource,58902DA4-C7FB-4D64-9987-DC98A50015CD,8AE89BC9-F764-4A16-97F1-17DF93A895CF,6905,BC-0037,S-02348,,605,605,R,2004-03-30 00:00:00.000,D,,0,0.54,605,,"Sandia Well Service, Inc.",A,,,,211CRVC,420,WBZ: 360' to 540' grey limestone/shale @ 0.25 GPM; 550' to 560' fractured limestone @ 12 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0037.pdf,,,,,0x0000000000055EC1
dbo.WellData,DataSource,1853CAB7-9725-4F53-A401-97834E418A8B,14B3757E-BF1C-4DE7-9D04-1AD2ADE2F234,7022,BC-0154,S-00367 POD2,,265,265,R,2012-12-23 00:00:00.000,D,,1.83,0.42,265,,Usrey Drilling,P,,,,231CHNL,60,WBZ: 225' to 235' maroon brown mudstone @ 1-2 GPM; 235' to 255' red brown fine grain sandstone @ 5-7 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0154.pdf,,,,,0x0000000000056074
dbo.WellData,DataSource,4504582C-CA27-463C-BADE-E5F0E08BFB0A,87846CAC-6430-45E6-97CD-1BB07DE0B86F,6888,BC-0020,RG-54787,,,,,,,,1,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000560F4
dbo.WellData,DataSource,87C18E92-D316-4513-B1F9-6C206EBA5AA9,84BFCA32-5A64-4433-BA64-1D31CDDBC1D6,7025,BC-0157,,,,,R,,,,1.43,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000561C9
dbo.WellData,DataSource,0E5133E3-CA63-47FF-A7AA-E8FDAF400BA2,525EB75B-69EC-4B30-B7BA-1DBDB15DE8EF,6906,BC-0038,S-00979,,300,300,R,1984-09-17 00:00:00.000,D,,1.58,0.42,300,,"Earl & Sons, Inc.",P,,,,319BRSM,160,WBZ: 275' to 300' sandstone @ 12+ GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0038.pdf,,,,,0x0000000000056212
dbo.WellData,DataSource,F52A1274-9F07-4466-9999-021E2E0A4C00,C58B03D8-982C-468A-991B-1F0C8B05ADA8,6898,BC-0030,S-01679,,,127,R,,,,0.4,,,,,,Well depth measured 6/13/2013 by S. Chudnoff.,,,231CHNL,,,I,D,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000562D8
dbo.WellData,DataSource,4BE879A1-DB2E-4620-918F-43A93CE2932B,4AAA1D2E-461C-4DF9-B0C7-1F2F1A4D3F2A,7020,BC-0152,S-00063,,125,125,R,1969-07-02 00:00:00.000,D,,1,0.42,125,,Massey-Foster Drilling,,,,,231CHNL,54,WBZ: 0' to 125' red clay.,I,D,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0152.pdf,,,,,0x00000000000562E8
dbo.WellData,DataSource,D1494C54-C223-4753-9E29-A609A95E2E9A,EF7E3D38-499D-4C0C-8D4D-21ED57B1D1BC,6993,BC-0125,RG-34834,,300,300,R,1980-09-01 00:00:00.000,D,,0.95,0.42,300,,Garcia Drilling,A,,,,410PRCG,240,WBZ: 240' to 300 grey sandstone @ 15-20 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0125.pdf,,,,,0x00000000000564A3
dbo.WellData,DataSource,0E67DF11-FA16-45FF-9FC4-29980CF956C6,4914CE9C-8F90-45C6-9CBE-21FB563C7117,6931,BC-0063,S-02071,,385,385,R,1998-05-01 00:00:00.000,D,,1.75,0.38,385,,"Gatling Well Drilling, Co.",A,,,,210MNCS,270,WBZ: 355' to 356' black shale @ 5 GPM; 370' to 371' black shale @ 8 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0063.pdf,,,,,0x00000000000564A9
dbo.WellData,DataSource,833FDCA3-0CB5-4F47-A872-90887CA6D3C6,737F3D89-07E0-43A7-A652-23FEB9C56B1A,6988,BC-0120,RG-87502,,925,920,R,2007-04-23 00:00:00.000,D,,0.95,0.38,920,,Garcia Brothers Drilling,A,,,,325MDER,340,"WBZ: 340' to 920' yellow sandstone, grey + red + black shale, white limestone @ 3 GPM.",,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0120.pdf,,,,,0x00000000000565D4
dbo.WellData,DataSource,2600A46C-17AA-44FE-9D2A-B35708F6BE64,0BFFA6FB-F164-4A92-9DFB-2598A97D8404,7057,BC-0189,,,,,R,,,,0.89,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000566BF
dbo.WellData,DataSource,B4F65F46-5CA2-4FA5-B944-2E046F3588F2,EAB60B1E-3873-4A0C-AA07-26455F8E4813,6983,BC-0115,,,,,R,,,,1.55,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x000000000005670D
dbo.WellData,DataSource,04B597E9-E672-44C7-BF50-6DA7D3D235BD,811C768B-B682-4683-BAC7-277FF0184C47,36445,BC-0260,S-01872,,,385,R,1995-04-28 00:00:00.000,D,,0.7,0.38,385,,"Sandia Well Drilling, Inc.",A,,,,325MDER,192,WBZ: 361' to 362' streak of black shale brown limestone brown sandstone @ 12 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0260.pdf,,,,,0x00000000000567DF
dbo.WellData,DataSource,62EC2E60-A540-498C-8174-6B20093AEA94,DE19AD64-6373-48C3-AB0B-2780C8885006,6990,BC-0122,E-00834,,,260,R,,,,0.55,,,,,,,,,325MDER,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000567E1
dbo.WellData,DataSource,7A2DB5CF-F6A8-4549-AB98-A58540E4B7F5,12EF8B30-9A3E-4B7F-9FBF-27CCFF759B44,6996,BC-0128,S-01632,,740,740,R,1993-10-13 00:00:00.000,D,,1.95,0.38,740,,Garcia & Sons Drilling Co.,A,,,,325MDER,500,"WBZ: 720' to 740' limestone, sandstone and rock @ 8 GPM.",,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0128.pdf,,,,,0x0000000000056817
dbo.WellData,DataSource,C56915CA-BB5E-41E4-8E34-F31564465DA7,282DE52C-A637-485D-9014-285E42262D98,7035,BC-0167,S-00923,,380,380,R,1984-04-02 00:00:00.000,D,,0.65,0.42,380,,"Sandia Well Drilling, Inc.",A,,,,325MDER,230,WBZ: 240' to 241' grey limestone @ 0.5 GPM; 355' to 356' grey limestone @ 9 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0167.pdf,,,,,0x0000000000056866
dbo.WellData,DataSource,7EA6D24B-8EE5-43C5-9089-0372D8415388,9D6B2622-05CD-44B1-BDF4-28996CDCDC04,36450,BC-0265,RG-07569,,,42,R,1962-06-21 00:00:00.000,D,,1.68,0.17,42,,B.H. Corfield,,,,,050QUAL,7,WBZ: 7' to 42' water sand all the way.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0265.pdf,,,,,0x000000000005688B
dbo.WellData,DataSource,15EECA76-76EA-4BF2-BA27-B08D4F3F1782,92CC2B8A-7677-4C96-974B-2AA0DEB1A15D,6917,BC-0049,S-01900,,190,190,R,1995-12-22 00:00:00.000,D,,0,0.38,50,,"Rodgers & Co., Inc.",,,,,310GLOR,89,"WBZ: 50' to 190' broken limestone & clay, clay, sand, and sand w/ clay streaks @ 18 GPM.",,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0049.pdf,,,,,0x00000000000569B4
dbo.WellData,DataSource,B43A5E2B-0274-48BE-93BC-C3C52FBFFCEC,EED3F07F-3267-4923-AC05-2D9720778391,7005,BC-0137,,,,,R,,,,0,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000056B70
dbo.WellData,DataSource,926008E7-79A2-4F48-884A-C83493A6F5FB,15D933F9-CB07-41AA-B082-2DC8E7CC594C,7007,BC-0139,,,,,R,,,,0,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000056B96
dbo.WellData,DataSource,84B0C7C8-9471-4969-80A9-175D39D88C4B,79029F10-44E4-499A-96C5-2DEFE5C265A3,6946,BC-0078,S-01674,,205,205,R,1996-11-18 00:00:00.000,D,,1.23,0.56,205,,Beeman Well Drilling,A,,,,231AGZC,70,WBZ: 160' to 180' broken & fractured white sandstone @ 30+ GPM.,I,D,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0078.pdf,,,,,0x0000000000056BA5
dbo.WellData,DataSource,EB7DD602-BE1B-4BFE-A3B6-788142E185DD,BA676FE4-BBDE-4549-BD57-2E8C595A95C5,36419,BC-0234,,,,,,,,,0.96,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000056C08
dbo.WellData,DataSource,98793D84-58EA-4F18-ACD9-6F39D022B15A,7704DAEF-7582-4EE2-9BDD-2F3D362184AB,6961,BC-0093,S-01058 POD2,,300,292,R,2013-06-19 00:00:00.000,D,,1.1,0.51,292,,Water Works Drilling,A,,,,231CHNL,150,WBZ: 0' to 150' existing well @ <1 GPM; 188' to 192' brown sandstone @ 12 GPM; 210' to 213' white sandstone @ 8 GPM; 268' to 275' grey sandstone @ 10+ GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0093.pdf,,,,,0x0000000000056C68
dbo.WellData,DataSource,5F0EB65F-DD2F-4B51-BD32-96BF673AE748,66A8817A-EB6C-4521-BF57-3074251FC4D2,6957,BC-0089,,,,,R,,,,0,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000056D18
dbo.WellData,DataSource,41A83B63-743B-46E0-98F4-1623A8B7904A,5D49E611-3C60-40E9-8A52-30E41718F1A2,36440,BC-0255,S-02208 POD2,,450,450,R,2014-05-21 00:00:00.000,D,,1.77,0.38,450,,Water Works Drilling Resources,A,,,,231CHNL,254,WBZ: 212' to 337' Alternating layers brown sandstone and brown mudstone @ 2-3 GPM; 337' to 340' hard grey sandstone @ 1-2 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0255.pdf,,,,,0x0000000000056D52
dbo.WellData,DataSource,ED591C55-CFBE-47E5-9FA7-D9B7798F34EA,8CDBA18D-56D4-48E1-B6E5-312486714858,6997,BC-0129,,,,,R,,,,-0.3,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000056D71
dbo.WellData,DataSource,9101768D-BC25-4505-B0D2-DD4454572A12,DB09B457-7FC9-4BAF-832E-342CBB6E4801,6885,BC-0017,RG-25214,,108,108,R,1974-11-12 00:00:00.000,D,,1.4,0.55,,,"Rodgers & Company, Inc.",,,,,410PRCG,43,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0017.pdf,,,,,0x0000000000056F63
dbo.WellData,DataSource,E540EBBA-F2F4-4DD1-94DA-B7E70EFE018A,1C38AC91-89BC-4620-A917-357BBE9333F5,36410,BC-0225,S-01486,,100,100,R,1990-05-14 00:00:00.000,D,,1.55,0.42,100,,"Sandia Well Drilling, Inc.",A,,,,318ABO,60,WBZ: 60' to 61' red fracture sandstone @ 18 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0225.pdf,,,,,0x0000000000057027
dbo.WellData,DataSource,E282B885-C516-408C-A80F-E5350407B834,782BD36D-C337-455B-81F7-366429D300DA,6892,BC-0024,RG-38149,,125,125,R,1982-07-29 00:00:00.000,R,,1,0.42,125,,"Earl & Sons, Inc.",P,,,,400PCMB,65,WBZ: 70' to 125' granite @ 8 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0024.pdf,,,,,0x000000000005709B
dbo.WellData,DataSource,B3954DE2-9F49-4A15-B1DE-1D3E79E4D310,9D7ED5D4-7A24-47AD-8FC1-39507E8A2343,6933,BC-0065,S-02153,,400,400,R,2000-03-30 00:00:00.000,D,,1.4,0.38,400,,Beeman Well Drilling,A,,,,318ABO,390,WBZ: 343' to 345' red sandstone w/ stringers of red shale @ 5-8 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0065.pdf,,,,,0x0000000000057252
dbo.WellData,DataSource,FCCC0445-AF54-4FA5-8F15-55AFF8FC59AF,F9C932B0-1612-46B2-8070-39FBC68A48B4,6901,BC-0033,S-02159,,225,225,R,2000-08-17 00:00:00.000,A,,0.81,0.38,225,,Gatling Well Drilling Co.,A,,,,325MDER,130,WBZ: 165' to 166' brown limestone @ 10 GPM; 185' to 186' brown limestone @ 20 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0033.pdf,,,,,0x00000000000572C1
dbo.WellData,DataSource,B6A519F4-2631-4B79-8171-F9DD2F8CAA2C,1E55E303-A14D-4869-AFE8-3A1E6FCFEC8A,6960,BC-0092,S-02013,,,100,R,,,,1.69,,,,,,,,,210MNCS,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x00000000000572DB
dbo.WellData,DataSource,42180480-757D-466B-9E4C-03F747082FF3,538195D4-4C22-43A9-AA97-3A9A0B45D4E7,6943,BC-0075,S-01058 X,,170,170,R,1990-04-27 00:00:00.000,D,,1.28,0.42,170,,"Sandia Well Drilling, Inc.",A,Old well,,,231CHNL,80,WBZ: 80' to 81' red sandstone @ 0.5 GPM; 150' to 151' brown sandstone @ 5 GPM; 160' to 161' brown sandstone @ 15 GPM.,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0075.pdf,,,,,0x0000000000057319
dbo.WellData,DataSource,7955CA08-1841-476E-B0CC-B177A8088C43,3B765094-2370-480F-96D1-3B2E09A53567,6908,BC-0040,S-00252,,,500,R,,,,0.92,,,,,,,,,325MDER,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,BC0040.pdf,,,,,0x0000000000057373
dbo.WellData,DataSource,8F5BB19A-8E5F-4AAA-8AE3-ECD63139FAF4,484EACEF-D48F-4CC2-BA50-3CA044F7FB28,36402,BC-0217,,,,,,,,,1.6,,,,,,,,,,,,C,I,Irrigation well for Ojito open space,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x000000000005743F
dbo.WellData,DataSource,5106CB4F-CECC-4D6C-A8A2-5FC451C06D99,22B71FCC-8621-4B5D-8284-3CBCDFA69A9C,7041,BC-0173,,,,,R,,,,0.32,,,,,,,,,,,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x000000000005744B
dbo.WellData,DataSource,479E856F-4FF5-473B-9C2E-967117E64D73,318551AD-FD4F-4ADD-8D44-3CE3314977D5,7009,BC-0141,RG-60931,,,700,R,1995-06-21 00:00:00.000,D,,1.01,0.38,,,"Rodgers & Co., Inc.",,,,,110ALVM,495,,,,,H,false,false,false,"Bernalillo County, Sara Chudnoff",,0,,,,,,0x0000000000057466
