HangingPointHgt (no),SiteType (yes),MeasuredBy (no),CompletionSource (no),SSMA_TimeStamp (pending),CollectionRemarks (pending),,WaterType (pending),WaterType (pending),,,,Agency (pending),CollectedBy (pending),,,WCLab_ID (pending),,CasingDiameter (pending),Ss (ft-1) (pending),SiteType (pending),SiteType (pending),,SiteType (pending),SiteType (pending),SiteType (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes (pending),Notes (pending),,,MailState (pending),,,,Notes (pending),,,,StaticWater (pending),,,StratNotes (pending),SiteNotes (pending),SiteNotes (pending),,,FormationZone (pending),FormationZone (pending),Expr1 (pending),Expr1 (pending),SSMA_TimeStamp (pending),,,WL__BMP_ (pending),,,MeasurementMethod (pending),MeasuredBy (pending),MeasuringAgency (pending),MeasuringAgency (pending),MeasurementMethod (pending),MeasurementMethod (pending),MeasurementMethod (pending),,,,
RecordingInterval (no),WL_Continuous (N/A),DataSource (no),MeasuringPoint (no),,Aquifer (pending),,SampleType (pending),SampleType (pending),,,,Notes (pending),WaterType (pending),,,SSMA_TimeStamp (pending),,FormationZone (pending),Sy (decimalfractn) (pending),WL_Continuous (pending),WL_Continuous (pending),,WL_Continuous (pending),WL_Continuous (pending),WL_Continuous (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Volume (pending),Volume (pending),,,MailZipCode (pending),,,,Volume (pending),,,,CasingDiameter (pending),,,OBJECTID (pending),FieldMethodNotes (pending),FieldMethodNotes (pending),,,Geometry (pending),ProjectName (pending),WellID (pending),WellID (pending),,,,WL_Accy (pending),,,MeasuredBy (pending),DataSource (pending),Notes (pending),Notes (pending),DataSource (pending),DataSource (pending),DataSource (pending),,,,
Equipment Notes (yes),WL_Intermittent (N/A),MeasuringAgency (no),MPHeight (yes),,AquiferCode (pending),,Altitude (pending),Altitude (pending),,,,PR (pending),SampleNotes (pending),,,,,MinOfScreenTop (pending),KH (ft/d) (pending),WL_Intermittent (pending),WL_Intermittent (pending),,WL_Intermittent (pending),WL_Intermittent (pending),WL_Intermittent (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VolumeUnit (pending),VolumeUnit (pending),,,PhysicalAddress (pending),,,,VolumeUnit (pending),,,,FormationZone (pending),,,GlobalID (pending),FormationZone (pending),FormationZone (pending),,,,MonitoringStatus (pending),Expr2 (pending),Expr2 (pending),,,,WL_Status (pending),,,DataSource (pending),MeasuringAgency (pending),SerialNo (pending),SerialNo (pending),MeasuringAgency (pending),MeasuringAgency (pending),MeasuringAgency (pending),,,,
NMTProperty (no),WaterQuality (N/A),SiteNotes (needs to be added),CasingDiameter (yes),,WellDepth (pending),,AquiferType (pending),AquiferType (pending),,,,MPhgt (pending),DataSource (pending),,,,,MaxOfScreenBottom (pending),KV (ft/d) (pending),WaterQuality (pending),WaterQuality (pending),,WaterQuality (pending),WaterQuality (pending),WaterQuality (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBJECTID (pending),OBJECTID (pending),,,PhysicalCity (pending),,,,OBJECTID (pending),,,,MinOfScreenTop (pending),,,,AqClass (pending),AqClass (pending),,,,Geometry (pending),OSEWellID (pending),OSEWellID (pending),,,,WL_Method (pending),,,MeasuringAgency (pending),SiteNotes (pending),PreProcessDataField (pending),PreProcessDataField (pending),QCed (pending),QCed (pending),QCed (pending),,,,
GlobalID (no),WaterFlow (N/A),LevelStatement (),CasingDepth (yes),,PlusMinus (pending),,AqClass (pending),AqClass (pending),,,,,SampleMaterialNotH2O (pending),,,,,DateMeasued (pending),HL (day-1) (pending),WaterFlow (pending),WaterFlow (pending),,WaterFlow (pending),WaterFlow (pending),WaterFlow (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GlobalID (pending),GlobalID (pending),,,PhysicalState (pending),,,,GlobalID (pending),,,,MaxOfScreenBottom (pending),,,,SourceNotes (pending),SourceNotes (pending),,,,,HoleDepth (pending),HoleDepth (pending),,,,ID (pending),,,SiteNotes (pending),LevelStatement (pending),ServerReceiptDate (pending),ServerReceiptDate (pending),Notes (pending),Notes (pending),Notes (pending),,,,
WI_MinSoundDepth (no),Hydraulic (N/A),GlobalID (no),CasingDescription (yes),,LatitudeDD (pending),,WellDepth (pending),WellDepth (pending),,,,,OBJECTID (pending),,,,,DepthToWaterBGS (pending),HD (ft2/d) (pending),Hydraulic (pending),Hydraulic (pending),,Hydraulic (pending),Hydraulic (pending),Hydraulic (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnalysesAgency (pending),AnalysesAgency (pending),,,PhysicalZipCode (pending),,,,AnalysesAgency (pending),,,,MaxOfDateMeasured_WL (pending),,,,OBJECTID (pending),OBJECTID (pending),,,,,WellDepth (pending),WellDepth (pending),,,,,,,LevelStatement (pending),GlobalID (pending),WellntelReadingType (pending),WellntelReadingType (pending),Created (pending),Created (pending),Created (pending),,,,
WI_StartFrequency (no),Subsurface (N/A),SSMA_TimeStamp (N/A),DrillerName (no),,LongitudeDD (pending),,FormationZone (pending),FormationZone (pending),,,,,LocationId (pending),,,,,MeasurementMethod (pending),Cs (gal/d/ft) (pending),Subsurface (pending),Subsurface (pending),,Subsurface (pending),Subsurface (pending),Subsurface (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WCLab_ID (pending),WCLab_ID (pending),,,SecondLastName (pending),,,,WCLab_ID (pending),,,,MaxOfDateMeasured_Acoustic (pending),,,,DataSource (pending),DataSource (pending),,,,,DepthSource (pending),DepthSource (pending),,,,,,,GlobalID (pending),SSMA_TimeStamp (pending),SensorHgtAboveMP (pending),SensorHgtAboveMP (pending),Updated (pending),Updated (pending),Updated (pending),,,,
WI_EndFrequency (no),WellorSpgNoData (N/A),PublicRelease (yes),ConstructionMethod (no),,EntityId (pending),,CollectionDate (pending),CollectionDate (pending),,,,,AddedDaytoDate (pending),,,,,LevelStatus (pending),P (decimal fraction) (pending),WellorSpgNoData (pending),WellorSpgNoData (pending),,WellorSpgNoData (pending),WellorSpgNoData (pending),WellorSpgNoData (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSMA_TimeStamp (pending),SSMA_TimeStamp (pending),,,SecondFirstName (pending),,,,SSMA_TimeStamp (pending),,,,MaxOfDateMeasured_Pressure (pending),,,,SSMA_TimeStamp (pending),SSMA_TimeStamp (pending),,,,,CompletionDate (pending),CompletionDate (pending),,,,,,,SSMA_TimeStamp (pending),PublicRelease (pending),SpeakerToMicLength (pending),SpeakerToMicLength (pending),ProcessedBy (pending),ProcessedBy (pending),,,,,
WI_Duration (no),SubsurfaceType (N/A),Geometry (N/A),ConstructionNotes (yes),,LabId (pending),,SiteType (pending),SiteType (pending),,,,,AddedMonthDaytoDate (pending),,,,,MeasuringAgency (pending),k (darcy) (pending),SubsurfaceType (pending),SubsurfaceType (pending),,SubsurfaceType (pending),SubsurfaceType (pending),SubsurfaceType (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecondCtctPhone (pending),,,,,,,,OBJECTID (pending),,,,,,,,,,CompletionSource (pending),CompletionSource (pending),,,,,,,PublicRelease (pending),Geometry (pending),PublicRelease (pending),PublicRelease (pending),CheckedBy (pending),CheckedBy (pending),,,,,
WI_Magnitude (no),Easting (N/A),DateMeasured (yes),AquiferType (no),,Time (pending),,CountOfSamplePointID (pending),CountOfSamplePointID (pending),,,,,SSMA_TimeStamp (pending),,,,,Shape (pending),Data Source (pending),Easting (pending),Easting (pending),,Easting (pending),Easting (pending),Easting (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SecondCtctEmail (pending),,,,,,,,,,,,,,,,,,CasingDiameter (pending),CasingDiameter (pending),,,,,,,Geometry (pending),DateMeasured (pending),Created (pending),Created (pending),CONDDL (mS/cm) (pending),CONDDL (mS/cm) (pending),,,,,
WI_MicGain (no),Northing (N/A),TimeMeasured (yes),AqClass (no),,ReliabilityId (pending),,CollectedBy (pending),CollectedBy (pending),,,,,PublicRelease (pending),,,,,,OBJECTID (pending),Northing (pending),Northing (pending),,Northing (pending),Northing (pending),Northing (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OwnerComment (pending),,,,,,,,,,,,,,,,,,CasingDepth (pending),CasingDepth (pending),,,,,,,DateMeasured (pending),TimeMeasured (pending),EventID (pending),EventID (pending),,,,,,,
ID (pending),UTMDatum (N/A),TimeDatum (yes),FormationZone (no),,ParameterCode (pending),,DataSource (pending),DataSource (pending),,,,,,,,,,,GlobalID (pending),UTMDatum (pending),UTMDatum (pending),,UTMDatum (pending),UTMDatum (pending),UTMDatum (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBJECTID (pending),,,,,,,,,,,,,,,,,,FormationZone (pending),FormationZone (pending),,,,,,,TimeMeasured (pending),TimeDatum (pending),ImportID (pending),ImportID (pending),,,,,,,
SSMA_TimeStamp (pending),CoordinateNotes (yes),,StaticWater (TBD),,LocationId (pending),,DataQuality (pending),DataQuality (pending),,,,,,,,,,,SSMA_TimeStamp (pending),CoordinateNotes (pending),CoordinateNotes (pending),,CoordinateNotes (pending),CoordinateNotes (pending),CoordinateNotes (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GlobalID (pending),,,,,,,,,,,,,,,,,,Status (pending),Status (pending),,,,,,,TimeDatum (pending),,,,,,,,,,
,Altitude (yes),,WaterNotes (no),,,,Ag (pending),OH (pending),,,,,,,,,,,,Altitude (pending),Altitude (pending),,Altitude (pending),Altitude (pending),Altitude (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DataSource (pending),DataSource (pending),,,,,,,,,,,,,,,,,
,AltitudeAccuracy (yes),,Status (yes),,,,Al (pending),Mg_Total (pending),,,,,,,,,,,,AltitudeAccuracy (pending),AltitudeAccuracy (pending),,AltitudeAccuracy (pending),AltitudeAccuracy (pending),AltitudeAccuracy (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expr3 (pending),Expr3 (pending),,,,,,,,,,,,,,,,,
,AltitudeMethod (yes),,CurrentUse (yes),,,,As (pending),C14_corrected (pending),,,,,,,,,,,,AltitudeMethod (pending),AltitudeMethod (pending),,AltitudeMethod (pending),AltitudeMethod (pending),AltitudeMethod (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expr4 (pending),Expr4 (pending),,,,,,,,,,,,,,,,,
,AltDatum (N/A),,StatusUserNotes (TBD),,,,B (pending),H2r (pending),,,,,,,,,,,,AltDatum (pending),AltDatum (pending),,AltDatum (pending),AltDatum (pending),AltDatum (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DateMeasured (pending),DateMeasured (pending),,,,,,,,,,,,,,,,,
,Latitude (N/A),,MonitoringStatus (no),,,,Ba (pending),F (pending),,,,,,,,,,,,Latitude (pending),Latitude (pending),,Latitude (pending),Latitude (pending),Latitude (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TimeMeasured (pending),TimeMeasured (pending),,,,,,,,,,,,,,,,,
,Longitude (N/A),,OpenWellLoggerOK (yes),,,,Be (pending),CFC113_12 (pending),,,,,,,,,,,,Longitude (pending),Longitude (pending),,Longitude (pending),Longitude (pending),Longitude (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TimeDatum (pending),TimeDatum (pending),,,,,,,,,,,,,,,,,
,LatLonDatum (N/A),,MonitorOK (no),,,,Br (pending),O18r (pending),,,,,,,,,,,,LatLonDatum (pending),LatLonDatum (pending),,LatLonDatum (pending),LatLonDatum (pending),LatLonDatum (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DepthToWaterBGS (pending),DepthToWaterBGS (pending),,,,,,,,,,,,,,,,,
,CoordinateAccuracy (yes),,SampleOK (yes),,,,Ca (pending),TKN (pending),,,,,,,,,,,,CoordinateAccuracy (pending),CoordinateAccuracy (pending),,CoordinateAccuracy (pending),CoordinateAccuracy (pending),CoordinateAccuracy (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LevelStatus (pending),LevelStatus (pending),,,,,,,,,,,,,,,,,
,CoordinateMethod (yes),,DataSource (no),,,,Cd (pending),Cr_Total (pending),,,,,,,,,,,,CoordinateMethod (pending),CoordinateMethod (pending),,CoordinateMethod (pending),CoordinateMethod (pending),CoordinateMethod (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DataQuality (pending),DataQuality (pending),,,,,,,,,,,,,,,,,
