PointID,SiteNames,Easting,Northing,LocationNotes,CoordinateNotes,MeasuringPoint,WD_MPHeight,WellDepth,WL_MPHeight,DateMeasured,DepthToWater,LevelStatus,MeasurementMethod,SiteNotes,EquipmentType,Model,SerialNo,HangingCableLength,RecordingInterval,DateInstalled,EquipmentNotes
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0.85,2020-02-14,83.91,,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0.85,2021-03-22,85.14,,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0.85,2021-12-10,85.24,,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0.85,2022-12-13,85.38,,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0.85,2023-11-29,85.42,AA,S,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1961-01-16,76.22,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1962-01-17,77.25,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1963-01-16,78.75,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1964-01-15,80.1,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1965-01-14,80.95,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1966-01-25,81.72,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1967-01-23,83.62,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1968-01-25,89.33,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1970-01-15,85.55,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1971-01-23,86.12,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1972-01-06,88.84,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1973-01-23,87.47,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1974-01-14,88.57,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1975-01-15,87.83,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1976-01-13,88.54,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1977-01-25,89.45,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1978-01-09,90.21,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1980-01-03,92.76,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1981-01-07,93.57,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1982-02-18,94.72,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1987-02-04,94.55,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1992-02-04,97.2,,U,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,1997-02-19,100.9,,S,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,2002-02-19,98.85,,S,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,2007-03-01,99.45,,S,,,,,,,,
NM-02082,10347,221460,3561111,~0.1 miles further up dirt road from NM-04961. Inside locked fencing.,Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,WLs reported bgs. Entered zero for mp height for calculated fields. Actual MP height may not be zero.,0,315,0,2012-03-11,100.69,A,T,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,1956-01-28,106.5,P,U,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,1956-03-21,71.13,,U,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,1972-02-09,86.98,,U,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,1982-02-19,93.28,,U,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,1987-02-03,94.4,,U,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,1992-02-04,98.3,,U,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,1997-02-20,98.9,,S,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,2002-01-29,102.7,,S,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,2007-02-24,102.65,,S,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0,2012-03-15,110.1,P,S,,,,,,,,
NM-02161,6151,249934,3566856,"From east side of Deming, go east on NM549 for 4.2 miles. Go south on NM-143/Stirrup Rd SE for 2.8 miles. Go west at gate with cattle guard labeled 'McDougal.' Go around the right side of the house/trucks to the far side of the field, north of the house.  Well is inside gate with small well-house, under insulation and blanket (for the winter).",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,TOC; part steel plates to fit tape into casing. USGS WLs reported bgs.,0.88,135,0.88,2020-01-07,114.7,,S,Casing is dirty; rust falling off; difficult to measure,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1940-09-06,79.71,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1940-11-13,98.66,R,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1941-01-09,79.24,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1941-03-13,77.95,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1941-05-05,76.26,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1941-07-09,94.35,P,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1941-08-30,94.92,P,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1941-11-07,75.68,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1942-01-09,75.34,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1942-03-10,75.33,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1942-05-20,75.94,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1942-10-13,76.91,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1943-01-08,76.94,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1943-04-27,77.29,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1943-07-11,79.98,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1943-10-11,78.62,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1944-01-08,78.65,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1944-04-15,80.03,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1944-09-12,80.82,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1944-11-22,80.07,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1945-01-08,80.08,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1945-03-22,80.31,S,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1945-05-12,81.06,,U,,,,,,,,
NM-02232,10210,230349,3571366,"From NM418 and Spruce intersection, go west on NM418 for 6.1 miles. Go north at Hartman Farms sign (Amado Rd) to main house. Well located around the house on the other side of the red cargo box.",Elevation from 4.5m SPADTM Lat/LongDD updated 5/27/2020,Port in base of turbine pump frame.  (USGS WLs reported bgs.),0.65,198,0,1945-09-12,82.3,,U,,,,,,,,
